avgRateByFrame,avgRateBytes,maxRate,minRate,avgRate,avgDt,estAvgBufferTime,changes,queueLength,queueLengthInBytes,duration_min,ul_txPackets,ul_txBytes,ul_txOffered,ul_xBytes,ul_rxOfferedthroughput,ul_meanDelay,ul_meanJitter,ul_rxPackets,ul_pdcp_nTxPDUs,ul_pdcp_TxBytes,ul_pdcp_nRxPDUs,ul_pdcp_RxBytes,ul_pdcp_delay_s,ul_pdcp_stdDev_s,ul_pdcp_min_s,ul_pdcp_max_s,ul_pdcp_PduSize,ul_pdcp_stdDev,ul_rlc_nTxPDUs,ul_rlc_TxBytes,ul_rlc_nRxPDUs,ul_rlc_RxBytes,ul_rlc_delay_s,ul_rlc_stdDev_s,ul_rlc_min_s,ul_rlc_max_s,ul_rlc_PduSize,ul_rlc_stdDev,ul_rlc_min,ul_rlc_max,IMSI,cellId,rnti,dl_mac_mcs,dl_mac_TbSize,index_x,sinr,dl_pathLoss_dB,ul_pathLoss_dB,ul_tbSize,ul_mcs,ul_rv,ul_SINR_dB,ul_CQI,ul_corrupt,ul_rv_max,dl_tbSize,dl_mcs,dl_rv,dl_SINR_dB,dl_CQI,dl_corrupt,UL_DCI_rxMac,BSR_txMac,SR_txMac,UL_DCI_rxPhy_x,DL_DCI_rxPhy_x,qoe_YinX_v1,qoe_YinX_v2,nodes
1406,64823,2484,1245,9430,36.06,11.02,7,1011,10710,470,21220,12450133,10.875,12316164,10.74,37.75,0.458,20980,21220,12492555,20980,12358130,0.03775,0.014244,0.003786,0.0722,589.0,17.39,3976,12403787,3976,12398963,0.002907,0.001814,0.00217,0.00796,3118,446.0,11,6430,9,1,1,27.9,2556.0,108,52.16,-79.6,-79.6,3158,27.75,0.103,26.66,0.1,0.103,1,2556.0,27.9,0.0,52.16,15.0,0.0,4830,4830,105,55300,3790,30.5,18.75,9
1699,78557,3080,1547,10310,36.72,10.97,6,1021,11416,522,22690,13313372,11.625,13270391,11.58,46.44,0.5815,22610,22690,13358738,22610,13315609,0.04645,0.0204,0.003714,0.0831,589.0,17.23,6244,13364227,6244,13364227,0.002707,0.0003483,0.00217,0.00796,2140,984.0,27,19310,49,11,6,27.89,1775.0,698,49.25,-79.4,-79.4,2238,27.98,0.004,35.62,0.0,0.004,1,1775.0,27.89,0.0,49.25,15.0,0.0,6690,6690,110,55970,4124,34.5,21.25,9
3432,157146,9500,1547,27780,46.25,13.11,3,1134,29260,72,57760,33546908,30.16,33546908,30.12,20.81,0.1445,57760,57760,33662464,57760,33662464,0.0208,0.00584,0.00307,0.03336,583.0,58.88,3326,33755852,3326,33755852,0.002802,0.0009775,0.00217,0.00796,10150,4364.0,27,19310,6,5,1,27.95,3616.0,2476,47.72,-79.4,-79.4,10730,27.81,0.028,28.31,0.03,0.028,1,3616.0,27.95,0.0,47.72,15.0,0.0,4436,4436,257,8950,1327,106.5,65.6,2
2008,91977,3840,1547,11130,35.62,10.86,4,1009,12020,410,24340,14281540,12.51,14253316,12.445,47.03,0.5405,24290,24340,14330206,24290,14301886,0.04703,0.02002,0.003714,0.08234,589.0,17.38,5956,14380155,5950,14366636,0.003077,0.001146,0.00217,0.00796,2414,1631.0,25,19310,58,15,7,27.89,1801.0,5702,44.56,-83.6,-83.6,2530,27.94,0.051,27.58,0.05,0.051,1,1801.0,27.89,0.0,44.56,15.0,0.0,6710,6710,112,49060,3536,36.88,22.72,8
1946,91950,4220,1033,11990,44.6,12.01,3,1126,13000,325,25890,15190729,13.55,15180733,13.516,43.25,0.5005,25870,25890,15242493,25870,15232463,0.04324,0.02141,0.00307,0.1665,589.0,17.39,4022,15290282,4020,15280626,0.005344,0.003325,0.002314,0.01796,3800,2702.0,27,19310,52,15,5,27.72,1976.0,5441,39.28,-81.5,-81.5,3926,26.48,0.39,19.3,0.34,0.334,3,1976.0,27.73,0.028,39.28,14.85,0.028,6456,6456,115,41700,3240,39.38,24.23,7
1699,78037,3080,1547,9040,29.14,9.99,6,889,9610,551,19600,11506068,10.12,11506068,10.055,44.2,0.5776,19600,19600,11545274,19600,11545274,0.0442,0.02022,0.003,0.0858,589.0,17.25,5290,11586759,5290,11586759,0.00258,0.0006948,0.00217,0.00796,2190,809.0,11,6430,27,5,4,27.86,1856.0,1343,47.8,-80.2,-80.2,2250,27.98,0.017,31.72,0.02,0.017,1,1856.0,27.86,0.0,47.8,15.0,0.0,5764,5764,102,61470,4046,29.62,18.23,10
715,302494,2134,1245,4350,0.0,2.44,2,0,0,606,935,544676,0.4885,480324,5.94,56.8,1.079,821,935,546546,821,481966,0.0568,0.0393,0.0085,0.12476,587.0,35.7,206,497073,202,484869,0.00545,0.003496,0.002672,0.01788,2400,3228.0,27,18690,31,7,10,23.02,1510.0,1479,34.0,-88.8,-88.8,2710,23.56,0.453,14.09,0.36,0.362,3,1510.0,23.02,0.067,34.0,14.44,0.067,361,361,13,55260,3882,2.43,1.46,10
2288,107703,4220,1547,12056,44.16,11.89,3,1126,12380,435,25470,14950638,13.336,14950638,13.24,34.7,0.4104,25470,25470,15001584,25470,15001584,0.03467,0.01296,0.003357,0.0654,589.0,17.47,4796,15050511,4796,15050511,0.002783,0.0008736,0.002243,0.00796,3138,466.5,27,9656,21,5,4,27.94,2172.0,6235,46.25,-80.7,-80.7,3180,27.98,0.027,29.48,0.03,0.026,1,2172.0,27.94,0.011,46.25,14.95,0.011,5372,5372,115,49440,3750,41.1,25.34,8
1849,88587,3840,1547,9170,25.78,9.04,4,826,9490,556,19950,11709207,10.27,11706855,10.26,51.28,0.6655,19950,19950,11749107,19950,11746747,0.05127,0.02502,0.004787,0.1658,589.0,17.4,6170,11793214,6170,11791612,0.002935,0.0006223,0.00217,0.00796,1911,1008.5,27,19310,21,5,10,27.88,1654.0,2189,56.53,-76.5,-76.5,2016,27.98,0.016,36.2,0.02,0.016,1,1654.0,27.88,0.0,56.53,15.0,0.0,6652,6652,94,61470,3860,30.05,18.48,10
1059,51496,2134,791,4920,20.56,8.45,4,695,4716,511,9940,5838065,5.11,5776325,5.043,45.6,0.958,9830,9940,5857941,9830,5795991,0.0456,0.02748,0.007286,0.269,589.5,15.67,2160,5852921,2150,5824774,0.006836,0.003937,0.00217,0.01796,2710,1048.0,4,17710,45,9,1,27.84,2472.0,252,41.22,-83.94,-83.94,2876,25.81,0.568,14.9,0.46,0.458,3,2472.0,27.84,0.0,41.2,15.0,0.0,4410,4410,103,53540,3342,12.69,7.78,9
2204,100264,4220,1547,12100,41.72,11.8,3,1115,12984,409,26300,15438628,13.51,15378312,13.414,48.34,0.531,26200,26300,15491238,26200,15430716,0.04834,0.01843,0.003786,0.0768,589.0,17.45,6540,15499844,6536,15485372,0.002949,2.26e-05,0.002813,0.002956,2368,1516.0,27,19310,89,23,8,27.9,1777.0,6503,53.6,-75.9,-75.9,2624,28.0,0.0,38.6,0.0,0.0,0,1777.0,27.9,0.0,53.6,15.0,0.0,7070,7070,119,49100,3872,40.8,25.16,8
2204,97456,4220,1547,10290,26.89,9.68,3,867,10296,516,22130,12988348,11.4,12954832,11.305,34.47,0.4167,22080,22130,13032608,22080,12998978,0.03445,0.01323,0.003143,0.06555,589.0,17.48,4184,13048284,4184,13041858,0.002617,0.000939,0.00217,0.01253,3118,431.8,27,9656,25,5,3,27.9,2220.0,452,44.66,-83.1,-83.1,3156,27.98,0.029,29.98,0.03,0.029,2,2220.0,27.9,0.003,44.62,14.99,0.003,4690,4690,102,56480,3720,34.56,21.28,9
2204,99426,4220,1547,10960,34.38,10.87,3,984,11096,467,23460,13763521,12.016,13620297,11.95,36.16,0.4043,23200,23460,13810425,23200,13666713,0.03616,0.01306,0.002787,0.06537,589.0,18.03,4360,13712885,4360,13711283,0.002323,0.000664,0.00217,0.01274,3146,510.5,27,16800,108,23,1,27.86,2604.0,855,43.47,-87.6,-87.6,3184,27.97,0.014,27.16,0.01,0.014,2,2614.0,27.86,0.01,43.44,14.95,0.01,4828,4828,108,53630,3740,37.7,23.22,9
2388,123068,4220,1547,27360,44.88,12.41,3,1123,29300,75,55300,32302636,28.97,32302636,28.92,22.03,0.1443,55300,55300,32413196,55300,32413196,0.022,0.00601,0.00357,0.03857,586.5,40.66,3232,32502832,3232,32502832,0.003304,0.001264,0.00253,0.00796,10056,4884.0,27,19310,7,7,2,27.48,3882.0,2527,43.1,-84.44,-84.44,10480,26.69,0.067,26.45,0.07,0.067,1,3886.0,27.48,0.048,43.1,14.71,0.048,4616,4616,251,9070,1100,94.06,57.9,2
2388,113534,4220,1547,19780,52.38,13.63,3,1226,22110,166,42850,25152874,22.17,25152874,22.08,25.7,0.2656,42850,42850,25238588,42850,25238588,0.0257,0.00853,0.002857,0.0542,589.0,17.05,5030,25313296,5030,25313296,0.002665,0.000774,0.00217,0.00796,5028,1698.0,15,19310,3,1,2,27.8,2824.0,3049,49.62,-80.56,-80.56,5184,27.88,0.021,32.94,0.02,0.021,1,2824.0,27.8,0.015,49.62,14.95,0.015,5856,5856,185,24200,2426,70.4,43.22,4
2388,106637,4220,1547,19250,63.12,15.33,3,1359,21390,167,41630,24430320,21.31,24363536,21.27,27.2,0.2566,41500,41630,24513572,41500,24446560,0.02719,0.009224,0.003643,0.05408,589.0,17.1,4616,24518556,4616,24518556,0.002794,0.001218,0.00217,0.00796,5310,1980.0,27,19310,15,7,2,27.94,2954.0,3349,47.66,-82.4,-82.4,5508,27.72,0.052,28.38,0.05,0.051,1,2950.0,27.94,0.0,47.62,15.0,0.0,5588,5588,184,22880,2228,71.5,43.88,4
1787,83562,3528,1547,9680,30.3,10.02,4,911,10380,504,21220,12450011,10.94,12376511,10.8,50.47,0.628,21090,21220,12492435,21090,12418685,0.05048,0.0235,0.003214,0.1067,589.0,17.23,5140,12470318,5136,12462299,0.00376,0.002575,0.00217,0.01796,2426,1249.0,27,19310,59,13,5,27.67,1825.0,1030,45.0,-82.4,-82.4,2504,27.92,0.211,26.23,0.18,0.183,3,1828.0,27.7,0.035,45.0,14.77,0.033,6690,6690,98,56860,3536,32.88,20.23,9
1500,69621,2484,1245,9736,36.4,11.09,6,1011,10930,504,21710,12740077,11.12,12596265,11.0,42.9,0.521,21460,21710,12783487,21460,12639185,0.04288,0.01733,0.003143,0.0943,589.0,17.23,4064,12738814,4064,12737212,0.004005,0.002764,0.00217,0.01796,3134,772.0,14,19310,52,11,3,27.92,2286.0,1019,41.84,-87.56,-87.56,3186,27.8,0.242,21.64,0.22,0.218,3,2286.0,27.92,0.0,41.84,15.0,0.0,5628,5628,106,55300,3784,31.2,19.19,9
2122,93639,4220,1245,11620,39.0,11.73,3,1057,12200,413,25090,14721767,12.875,14649103,12.78,33.75,0.4094,24960,25090,14771935,24960,14699023,0.03372,0.012985,0.00736,0.06464,589.0,17.55,4676,14753408,4670,14746982,0.002478,0.000738,0.00217,0.00796,3156,420.2,27,9656,79,19,2,27.94,2360.0,6577,52.66,-79.8,-79.8,3196,27.98,0.018,32.2,0.02,0.018,1,2360.0,27.94,0.002,52.62,15.0,0.002,5200,5200,115,48580,3706,40.22,24.77,8
2204,99879,4220,1547,11990,41.12,11.78,3,1103,12620,437,26130,15332676,13.375,15189452,13.29,33.2,0.398,25890,26130,15384924,25890,15241212,0.0332,0.012634,0.003,0.06143,589.0,17.08,4850,15290879,4850,15290879,0.00238,0.0001572,0.00217,0.00796,3154,395.5,27,9656,47,11,2,27.94,2352.0,6353,55.0,-80.25,-80.25,3194,27.98,0.001,35.62,0.0,0.001,1,2352.0,27.94,0.0,55.0,15.0,0.0,5304,5304,121,49020,3898,40.8,25.16,8
1706,82471,3528,1245,9710,32.22,10.19,5,926,10270,499,20780,12198725,10.836,12198725,10.81,34.03,0.409,20780,20780,12240295,20780,12240295,0.03403,0.01276,0.002857,0.063,589.0,17.7,3924,12280261,3924,12280261,0.002296,0.000503,0.00217,0.00796,3128,381.2,27,3212,100,19,1,27.9,2562.0,2130,50.5,-82.94,-82.94,3168,27.98,0.007,30.14,0.01,0.008,1,2562.0,27.9,0.0,50.47,15.0,0.0,4324,4324,96,62940,4332,31.9,19.62,10
2388,108439,4220,1547,16850,82.6,16.8,2,1626,18350,220,35740,20968572,18.53,20968572,18.47,30.83,0.319,35740,35740,21040030,35740,21040030,0.0308,0.01187,0.003714,0.05914,589.0,17.45,5076,21104708,5076,21104708,0.002682,0.00112,0.00217,0.00796,4156,1908.0,10,19310,24,9,2,27.81,2630.0,3801,43.38,-82.2,-82.2,4384,27.97,0.041,30.14,0.04,0.041,1,2630.0,27.81,0.014,43.38,14.96,0.014,5904,5904,159,28400,2532,57.1,35.25,5
2204,99395,4220,1547,8990,22.81,8.92,3,801,9070,549,19520,11452828,10.0,11400496,9.945,54.84,0.6616,19420,19520,11491852,19420,11439342,0.05484,0.02518,0.003214,0.10645,589.0,16.83,4790,11532029,4788,11479916,0.003937,0.002434,0.00217,0.012955,2398,1562.0,27,19310,96,19,5,27.84,1869.0,1174,47.75,-80.1,-80.1,2480,27.48,0.213,25.69,0.21,0.209,2,1869.0,27.84,0.0,47.75,15.0,0.0,6424,6424,93,60160,3540,31.44,19.34,10
